 gpi,gracias por invitar
 tkm,te quiero mucho
 tqm,te quiero mucho
 ntp,no te preocupes
 npn,no pasa nada
 pti,para tu información
 mdi,me da igual
 fds,fin de semana
 finde,fin de semana
 tlj,te lo juro
 tqi,tengo que irme
 tki,tengo que irme
 cdt,cuídate
 bn,bien
 pq,porque
 pk,porque
 xq,porque
 xk,porque
 porq,porque
 q,que
 k,que
 qu,que
 ke,que
 qe,que
 xfa,por favor
 tb,también
 tmbn,también
 bn,bien
 bs,besos
 bst,besitos
 kn,quien
 cnt,contesta
 maso,más o menos
 msj,mensaje
 mñn,mañana
 atte,atentamente
 aki,aquí
 vdd,verdad
 gnl,genial
 mxo,mucho
 k acs,qué haces
 ntnc,entonces
 tons,entonces
 lol,jaja
 vns,vienes
 dnd,donde
 salu2,saludos
 re100,recién
 100pre,siempre
 pa,para
 etc,etcétera